"","C","gene"
"COL11A1","1","COL11A1"
"SFRP1","2","SFRP1"
"UCHL1","2","UCHL1"
"EPDR1","2","EPDR1"
"SCN3A","3","SCN3A"
"NDN","1","NDN"
"CPXM2","2","CPXM2"
"APCDD1","2","APCDD1"
"TMTC1","2","TMTC1"
"HEPH","1","HEPH"
"NFASC","2","NFASC"
"TSPAN18","1","TSPAN18"
"ITGA8","2","ITGA8"
"TAFA5","2","TAFA5"
"CHRM3","2","CHRM3"
"IGFBP2","1","IGFBP2"
"TSPYL5","2","TSPYL5"
"CADM1","2","CADM1"
"TCEAL3","2","TCEAL3"
"PCSK2","1","PCSK2"
"SEMA6A","2","SEMA6A"
"SLC17A9","2","SLC17A9"
"SERPING1","4","SERPING1"
"BEX1","2","BEX1"
"SIPA1L2","2","SIPA1L2"
"SLC7A14","2","SLC7A14"
"ZNF667-AS1","2","ZNF667-AS1"
"SOX6","2","SOX6"
"NPTX1","2","NPTX1"
"RARB","1","RARB"
"PIEZO2","2","PIEZO2"
"CLEC14A","1","CLEC14A"
"DCC","2","DCC"
"GNG2","2","GNG2"
"BAALC","2","BAALC"
"TENM2","2","TENM2"
"LINC00839","2","LINC00839"
"NLGN4X","2","NLGN4X"
"GDF6","2","GDF6"
"LIMCH1","1","LIMCH1"
"RUNX3","1","RUNX3"
"ST6GALNAC5","2","ST6GALNAC5"
"FOXRED2","2","FOXRED2"
"SERPINB2","3","SERPINB2"
"MACROH2A2","1","MACROH2A2"
"ZNF667","2","ZNF667"
"PNMA2","3","PNMA2"
"GPC4","1","GPC4"
"NTNG1","2","NTNG1"
"SULF2","1","SULF2"
"SOX11","2","SOX11"
"TFAP2C","2","TFAP2C"
"B4GALT6","1","B4GALT6"
"RCAN2","2","RCAN2"
"ENSG00000287673","2","ENSG00000287673"
"OCIAD2","1","OCIAD2"
"WFDC1","1","WFDC1"
"CXCL14","1","CXCL14"
"FOXL2NB","2","FOXL2NB"
"THNSL2","1","THNSL2"
"LRCH2","2","LRCH2"
"PAX3","2","PAX3"
"STK32B","2","STK32B"
"APBA2","1","APBA2"
"SOX4","2","SOX4"
"PHKA1","2","PHKA1"
"KCNIP3","2","KCNIP3"
"ZC4H2","2","ZC4H2"
"GPR37","2","GPR37"
"CCND2","2","CCND2"
"CRYZL2P","2","CRYZL2P"
"AKAP6","2","AKAP6"
"DENND2A","1","DENND2A"
"BMP4","2","BMP4"
"CLSTN2","1","CLSTN2"
"PPP2R2B","2","PPP2R2B"
"ZSCAN18","2","ZSCAN18"
"TP53I11","1","TP53I11"
"CERS6","2","CERS6"
"GABRA5","2","GABRA5"
"SFRP4","2","SFRP4"
"ENSG00000183055","4","ENSG00000183055"
"AR","1","AR"
"INA","2","INA"
"SALL1","2","SALL1"
"GRIA1","2","GRIA1"
"ZNF334","2","ZNF334"
"SCIN","1","SCIN"
"FLG","2","FLG"
"KCNMB4","1","KCNMB4"
"MAB21L2","1","MAB21L2"
"GSTM3","1","GSTM3"
"AUTS2","2","AUTS2"
"COL4A5","2","COL4A5"
"ROBO2","2","ROBO2"
"AMPH","2","AMPH"
"GREB1L","2","GREB1L"
"JAM2","2","JAM2"
"NOVA1","2","NOVA1"
"TDRP","2","TDRP"
"CPE","1","CPE"
"NRK","2","NRK"
"PTH1R","1","PTH1R"
"ENSG00000257531","4","ENSG00000257531"
"EMB","2","EMB"
"GUCY1A2","1","GUCY1A2"
"EEF1A2","2","EEF1A2"
"PTER","1","PTER"
"NEFH","2","NEFH"
"ENSG00000263503","4","ENSG00000263503"
"RFLNA","1","RFLNA"
"OSBPL1A","2","OSBPL1A"
"ALX4","1","ALX4"
"PTGER3","2","PTGER3"
"DAPK2","2","DAPK2"
"PYGO1","2","PYGO1"
"MIR646HG","2","MIR646HG"
"ZIC1","2","ZIC1"
"LYN","4","LYN"
"ZNF853","1","ZNF853"
"TMEM35A","2","TMEM35A"
"SHTN1","2","SHTN1"
"MCTP2","2","MCTP2"
"SNAP25","2","SNAP25"
"PPP1R14A","1","PPP1R14A"
"FAT3","2","FAT3"
"LAMA3","2","LAMA3"
"ZNF605","2","ZNF605"
"CDH8","1","CDH8"
"NCAM1","4","NCAM1"
"PCBP3","1","PCBP3"
"WNT16","2","WNT16"
"BACE2","2","BACE2"
"KCTD12","2","KCTD12"
"ZMAT1","1","ZMAT1"
"FEZ1","1","FEZ1"
"PTPRN","2","PTPRN"
"IGFBP5","2","IGFBP5"
"FRAS1","1","FRAS1"
"EFNA5","2","EFNA5"
"CCDC144B","2","CCDC144B"
"ZNF135","2","ZNF135"
"TSHZ2","1","TSHZ2"
"RGS7BP","4","RGS7BP"
"LINC00960","2","LINC00960"
"PDGFD","1","PDGFD"
"OAS1","3","OAS1"
"CHST15","4","CHST15"
"HHIP","3","HHIP"
"EFS","2","EFS"
"ENSG00000231566","4","ENSG00000231566"
"PDPN","1","PDPN"
"PADI2","1","PADI2"
"SETBP1","1","SETBP1"
"ALDH1A1","2","ALDH1A1"
"CYP27A1","1","CYP27A1"
"PNPLA4","1","PNPLA4"
"ARL4A","2","ARL4A"
"LINC02154","3","LINC02154"
"ENSG00000274422","4","ENSG00000274422"
"ENSG00000262265","4","ENSG00000262265"
"ABCB4","1","ABCB4"
"FOXG1","2","FOXG1"
"NAP1L3","1","NAP1L3"
"DIRAS1","2","DIRAS1"
"ZNF415","2","ZNF415"
"DOK6","2","DOK6"
"EPHA5","3","EPHA5"
"BEND5","1","BEND5"
"ST8SIA2","2","ST8SIA2"
"LGR5","2","LGR5"
"SLC9A9","2","SLC9A9"
"MYOCD","2","MYOCD"
"KCNH1","2","KCNH1"
"NR5A2","2","NR5A2"
"ENSG00000250280","4","ENSG00000250280"
"ENSG00000184809","1","ENSG00000184809"
"ANKEF1","2","ANKEF1"
"RSPO3","2","RSPO3"
"PLEKHA6","4","PLEKHA6"
"DCLK1","2","DCLK1"
"CCL5","3","CCL5"
"IGDCC4","1","IGDCC4"
"SP9","1","SP9"
"PRKAA2","2","PRKAA2"
"STK26","2","STK26"
"CPXM1","1","CPXM1"
"WNT2","1","WNT2"
"TRPC6","2","TRPC6"
"SDK1","1","SDK1"
"NOG","2","NOG"
"ENSG00000247134","1","ENSG00000247134"
"ENSG00000255004","2","ENSG00000255004"
"VANGL2","1","VANGL2"
"NTF3","2","NTF3"
"ENSG00000258565","4","ENSG00000258565"
"FNBP1L","2","FNBP1L"
"B3GNT5","1","B3GNT5"
"ATF7IP2","4","ATF7IP2"
"ADA2","1","ADA2"
"BEX4","1","BEX4"
"CNTN1","4","CNTN1"
"PDK3","4","PDK3"
"CFI","1","CFI"
"PTGFRN","4","PTGFRN"
"ACTG2","1","ACTG2"
"FOXL2","2","FOXL2"
"FRRS1","3","FRRS1"
"CORIN","2","CORIN"
"ENSG00000271811","4","ENSG00000271811"
"HSBP1L1","2","HSBP1L1"
"COL21A1","1","COL21A1"
"A2M","4","A2M"
"DNAJA4","1","DNAJA4"
"CHD7","1","CHD7"
"ACSS3","2","ACSS3"
"MGST2","1","MGST2"
"MGP","4","MGP"
"SPATA13_ENSG00000182957","2","SPATA13_ENSG00000182957"
"ZFP3","2","ZFP3"
"PTGIS","4","PTGIS"
"SPATA18","1","SPATA18"
"CCDC120","2","CCDC120"
"MBNL3","2","MBNL3"
"ZNF229","2","ZNF229"
"CDCP1","1","CDCP1"
"RELN","3","RELN"
"ASAP1-IT2","4","ASAP1-IT2"
"CES4A","2","CES4A"
"HSPB3","2","HSPB3"
"CDIP1","2","CDIP1"
"AFF2","1","AFF2"
"RNF182","2","RNF182"
"ENSG00000229585","4","ENSG00000229585"
"ANO3","1","ANO3"
"FLG-AS1","2","FLG-AS1"
"ZNF660","1","ZNF660"
"KIT","2","KIT"
"PLXNC1","2","PLXNC1"
"SLC2A8","2","SLC2A8"
"DCHS1","1","DCHS1"
"ZNF154","1","ZNF154"
"PGAP4","2","PGAP4"
"MAFB","1","MAFB"
"CD177","1","CD177"
"STMN2","2","STMN2"
"SYT12","1","SYT12"
"FN3K","1","FN3K"
"FAM89A","2","FAM89A"
"RN7SL1","3","RN7SL1"
"ENSG00000239763","4","ENSG00000239763"
"FAM83H","4","FAM83H"
"ENSG00000259969","1","ENSG00000259969"
"HUNK","2","HUNK"
"MAGEE1","2","MAGEE1"
"PHYHD1","2","PHYHD1"
"NTRK3","1","NTRK3"
"RNF180","4","RNF180"
"GAS7","1","GAS7"
"DNALI1","2","DNALI1"
"DIO2","1","DIO2"
"CLEC2B","1","CLEC2B"
"CNTNAP2","2","CNTNAP2"
"TCEAL2","4","TCEAL2"
"KRT19","1","KRT19"
"ARHGEF4","1","ARHGEF4"
"ANXA10","3","ANXA10"
"BIRC3","2","BIRC3"
"PABPC5","2","PABPC5"
"CST6","1","CST6"
"MALL","3","MALL"
"DUSP4","1","DUSP4"
"PARP8","2","PARP8"
"PALMD","1","PALMD"
"OAS2","3","OAS2"
"L1CAM","2","L1CAM"
"HTR1B","2","HTR1B"
"MTUS1","1","MTUS1"
"UBE2QL1","1","UBE2QL1"
"RGS16","1","RGS16"
